comp_code,comp_name,open,low,high,lastDone,vol,buyval,sellVal,chg,uppricesum,downpricesum,upcnt,downcnt,unchgcnt
3A,THREE-A RESOURCES BHD,0.888166666667,0.879583333333,0.898916666667,0.903583333333,2488.38333333333,258.55,380.5,0.004,1.225,0.3,22,23,15
AASIA,ASTRAL ASIA BHD,0.079016393443,0.078114754098,0.081229508197,0.156885245902,553.016393442623,528.573770491803,233,0.000573770492,4.775,0.025,36,4,21
AAX,AIRASIA X BERHAD,0.240983606557,0.236557377049,0.244590163934,0.239672131148,98591.4098360656,65272.131147541,27348.8852459016,0.001967213115,0.065,0.145,11,26,24
AAX-WA,AIRASIA X BERHAD - WARRANTS  A  2015/2020,0.043770491803,0.041229508197,0.046721311475,0.045081967213,17640.5901639344,33487.3606557377,19610.0163934426,0.000737704918,0.12,0.04,24,8,29
ABLEGRP,ABLEGROUP BERHAD,0.055,0.054180327869,0.05606557377,0.076557377049,2032.03278688525,8276.95081967213,2827.65573770492,0.000737704918,1.325,0.01,25,2,34
ABMB,ALLIANCE BANK MALAYSIA BERHAD,4.042131147541,4.006721311475,4.073114754098,4.034262295082,10768.4754098361,1013.6393442623,2198.47540983607,0.01131147541,1,1.48,27,27,7
ACME,ACME HOLDINGS BERHAD,0.030327868852,0.030245901639,0.030327868852,0.259754098361,15.032786885246,85.475409836066,73.459016393443,0,14,0.005,54,1,6
ACOSTEC,ACOUSTECH BHD,0.408770491803,0.403196721311,0.414754098361,0.415327868852,15827.7540983607,700.688524590164,507.950819672131,0.002459016393,0.515,0.115,21,15,25
ADVCON,ADVANCECON HOLDINGS BERHAD,0.410901639344,0.401721311475,0.419918032787,0.410081967213,25957.8852459016,1454.7868852459,1314.75409836066,0.003278688525,0.295,0.345,21,30,10
ADVENTA,ADVENTA BHD,0.32368852459,0.321557377049,0.325573770492,0.366639344262,255.55737704918,3969.08196721312,188.885245901639,0.004180327869,2.725,0.105,14,13,34
ADVPKG,ADVANCED PACKAGING TECHNOLOGY,0.649180327869,0.644426229508,0.650163934426,1.878032786885,43.704918032787,55.606557377049,79.213114754098,0.005737704918,75.25,0.29,42,7,12
AEM,AE MULTI HOLDINGS BHD,0.07237704918,0.071639344262,0.073196721311,0.10737704918,1440.14754098361,2555.19672131147,942.72131147541,0.000573770492,2.175,0.04,27,8,26
AEM-WA,AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019,0.001803278689,0.001803278689,0.002049180328,0.005327868852,845.852459016393,7101.06557377049,16573.9180327869,0.000245901639,0.215,0,43,0,18
AEON,AEON CO. (M) BHD,1.500327868852,1.478196721311,1.515573770492,1.496229508197,11597.2786885246,869.770491803279,790.672131147541,0.009344262295,0.4,0.65,20,30,11
AEONCR,AEON CREDIT SERVICE (M) BHD,16.753770491803,16.595737704918,16.84393442623,16.701967213115,1749.93442622951,25.475409836066,322.72131147541,0.033114754098,2.02,5.18,19,36,6
AFFIN,AFFIN BANK BERHAD,2.213770491803,2.197213114754,2.223606557377,2.209836065574,1231.85245901639,270.885245901639,136.524590163934,0.004426229508,0.31,0.55,14,32,15
AFUJIYA,ABM FUJIYA BERHAD,0.345819672131,0.338114754098,0.356967213115,0.526639344262,672.55737704918,146.950819672131,181.491803278689,0.004016393443,11.295,0.265,37,13,11
AHB,AHB HOLDINGS BHD,0.145901639344,0.143032786885,0.151393442623,0.14737704918,13689.1147540984,2962.5737704918,1999.83606557377,0.002131147541,0.175,0.085,24,14,23
AHB-WB,AHB HOLDINGS BERHAD - WARRANTS B 2014/2019,0.01631147541,0.014262295082,0.019098360656,0.018032786885,21223.0655737705,12841.5081967213,11509.1147540984,0.000819672131,0.155,0.05,20,9,32
AHEALTH,APEX HEALTHCARE BHD,8.847540983607,8.77131147541,8.920819672131,8.985245901639,283.754098360656,20.622950819672,31.868852459016,0.051475409836,11.41,3.01,20,39,2
AHP,AMANAH HARTA TANAH PNB,0.562540983607,0.558196721311,0.564344262295,0.759016393443,126.491803278689,109.655737704918,75.049180327869,0.003114754098,12.235,0.25,22,19,20
AIRASIA,AIRASIA GROUP BERHAD,2.688360655738,2.648524590164,2.716229508197,2.674426229508,87186.1475409836,1836.39344262295,1307.11475409836,0.01606557377,0.69,1.54,21,35,5
AIRPORT,MALAYSIA AIRPORTS HOLDINGS BHD,7.43868852459,7.340819672131,7.512786885246,7.436885245902,30663.2950819672,2822.36065573771,481.032786885246,0.02868852459,2.55,2.66,24,31,6
AISB,AMALGAMATED INDUSTRIAL STEEL,0.114180327869,0.112950819672,0.115819672131,0.254344262295,56.983606557377,190.44262295082,201.327868852459,0.00131147541,8.625,0.075,37,6,18
