user,post_date,post_time,post_text,favorite_count,crawl_timestamp
RLFootwear,2019-03-26,14:48:36,kicaupromo READY STOCK * Brown Leather Floral Oxfords | IDR 165.000 size: 36-40 order &amp; info: Whatsapp 085720037712 https://t.co/y1LhFMyONA,0,2019-03-26 22:48:58
MaybeThisIsWhy,2019-03-26,14:48:36,.@haincelestial stock rose by 0.7246% today. Find out how plant-based food companies are growing rapidly @GoodFoodInst,0,2019-03-26 22:48:58
stellashaw,2019-03-26,14:48:33,RT @jimsciutto: Breaking: Chief Justice Roberts denies request to put bump stock rule on hold. Rule takes effect today.,0,2019-03-26 22:48:58
aazimmairaj,2019-03-26,14:48:33,RT @SaleemFarrukh: If ExxonMobil had made a huge discovery its stock would have jumped. It has not https://t.co/pTOfylfptm,0,2019-03-26 22:48:58
TheBardolator,2019-03-26,14:48:32,RT @broadly: Today, we're launching The Gender Spectrum Collection, a stock photo library of over 180 images of 15 trans and non-binary mod...,0,2019-03-26 22:48:58
VictorSharma12,2019-03-26,14:48:30,RT @CNN: A federal bump stock ban starts today. Here's what that means for owners: https://t.co/SWewKJIjIc https://t.co/EMgTZZ9LK0,0,2019-03-26 22:48:58
CourtOfDisaster,2019-03-26,14:48:27,RT @adrs: This is SO SMART. Really proud of @vice and @broadly here. @broadly just released a FREE library of stock photos featuring tran...,0,2019-03-26 22:48:59
TheLightSpeedz,2019-03-26,14:48:26,@spud01au @AtomicFilament Global shipping needs to be fixed. A global economy can't exist when it costs so much. Of... https://t.co/GJZbuYDeuR,0,2019-03-26 22:48:59
GHenderson62,2019-03-26,14:48:25,RT @shannonrwatts: Don Spencer, president of the Oklahoma Second Amendment Association - the man who used the names of [?]@MomsDemand[?] volunt...,0,2019-03-26 22:48:59
Rockprincess818,2019-03-26,14:48:25,@realDonaldTrump @ByronYork @BillHemmer Democrats are a National laughing stock, they are blatant liars and Collusi... https://t.co/mheR4bPQNL,1,2019-03-26 22:48:59
LiyuanJoy,2019-03-26,14:48:24,Piano color 8/613 I tip hair extensions stock #itip #tapehairkuwait #utiphair #itiphair #hairextensions https://t.co/89edpt4ITF,0,2019-03-26 22:48:59
DavidNiyonsaba1,2019-03-26,14:48:24,RT @NatambaMerab: I never attempt to make money on the stock market. I buy on the assumption that they could close the market the next d...,0,2019-03-26 22:48:59
Bassboy990925,2019-03-26,14:48:24,RT @wigone1: Bump stocks were not merely parts, but instead were "machine guns" -- what the federal government calls fully automatic weapons...,0,2019-03-26 22:48:59
1baronjennyson,2019-03-26,14:48:23,RT @LindsaySchrupp: Today we're publishing a gender inclusive stock photo library available for free. The media needs to do better at repre...,0,2019-03-26 22:48:59
pelhambluefund,2019-03-26,02:31:19,RT @pelhambluefund: NEW BLOG POST! (TradeOfTheWeek # 7)Learn how we made RM1,000 in 80 MINUTES from our put warrant strategy - useful to...,0,2019-03-26 22:48:59
EmfiSecurities,2019-03-25,21:40:04,Market Holds US Recession Increasingly Hard, Asian Stock Exchange Drops 25 March 2019 18:11 WIB - CNBC Indonesiahttps://t.co/bCejwa7TZG,0,2019-03-26 22:48:59
pelhambluefund,2019-03-25,08:53:07,What happens in US markets tonight will determine this week's theme. We see further downside volatility. A put warr... https://t.co/jY8wuu4ixk,0,2019-03-26 22:48:59
wanifarhanah,2019-03-25,08:20:05,RT @pelhambluefund: SAPURA ENERGY results just came out. Watch out on how it affects the stock at 230pm. (Basically large operating loss bu...,0,2019-03-26 22:48:59
pelhambluefund,2019-03-25,07:58:39,RT @pelhambluefund: Exited with RM1,056 in profits for 3 1/2 hours' work. Overall returns is 5%. No complaints.#trade #saham #bursa https...,0,2019-03-26 22:48:59
surayaror,2019-03-25,06:50:45,RT @pelhambluefund: NEW BLOG POST! (TradeOfTheWeek # 7)Learn how we made RM1,000 in 80 MINUTES from our put warrant strategy - useful to...,0,2019-03-26 22:48:59
pelhambluefund,2019-03-25,06:47:13,Update : encouraging half sen increase for SAPNRG and warrant but no real movement to the upside. We'd stay away :... https://t.co/h0i4EaF31K,1,2019-03-26 22:48:59
pelhambluefund,2019-03-25,06:03:42,SAPURA ENERGY results just came out. Watch out on how it affects the stock at 230pm. (Basically large operating los... https://t.co/HcA1NBWtrQ,1,2019-03-26 22:48:59
shahrizan_k,2019-03-25,05:20:26,RT @pelhambluefund: Exited with RM1,056 in profits for 3 1/2 hours' work. Overall returns is 5%. No complaints.#trade #saham #bursa https...,0,2019-03-26 22:48:59
pelhambluefund,2019-03-25,04:32:15,Exited with RM1,056 in profits for 3 1/2 hours' work. Overall returns is 5%. No complaints.#trade #saham #bursa https://t.co/yhUaIk6FKb,4,2019-03-26 22:48:59
pelhambluefund,2019-03-25,02:41:17,DAYANG already up 4.6% from when we first highlighted it (1.29)#trade #saham #bursa,1,2019-03-26 22:48:59
pelhambluefund,2019-03-25,02:37:04,NEW BLOG POST! (TradeOfTheWeek # 7)Learn how we made RM1,000 in 80 MINUTES from our put warrant strategy - useful... https://t.co/ZzqJCl5IbY,4,2019-03-26 22:48:59
pelhambluefund,2019-03-25,01:30:38,As grandma always said, "when the markets are under pressure, only buy into stocks when they are in the red. They m... https://t.co/uJmHjnDm1L,2,2019-03-26 22:48:59
pelhambluefund,2019-03-25,01:29:05,Definitely worth a relook now! #trade #bursa #saham https://t.co/m8TKLz5kES,0,2019-03-26 22:48:59
ForexSaham,2019-03-24,08:52:25,RT @eLfathir_: ECONOMIC OF STUPIDITY | #SandiwaraUno#Sandiwaraanakmami#02vsNU https://t.co/nYvibZsiVb,0,2019-03-26 22:48:59
sereniTY_0109,2019-03-27,00:55:51,mom really suggested klse and pnb for my internship......... she really thinks im that smart to enter these places sdhshjdhj,0,2019-03-27 22:58:52
Iskandarbak,2019-03-26,10:31:41,KLSE dips below the psychological resistance level of 1,650 yesterday and remains there today.  Any pointers where... https://t.co/LlvFwz4jBg,0,2019-03-27 22:58:52
KiranGu72810213,2019-03-26,07:22:42,KLSE UPDATE  GAGAQRS (CODE : 5226) ROCKSSS 1.24&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;1.29, OUR 1ST TGT ALMOST ACHIEVED, BOOK SUPERB PROFIT.... https://t.co/zpc5PLpHnz,0,2019-03-27 22:58:52
AryanSo45810863,2019-03-26,07:21:50,KLSE UPDATE  GAGAQRS (CODE : 5226) ROCKSSS 1.24&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;1.29, OUR 1ST TGT ALMOST ACHIEVED, BOOK SUPERB PROFIT.,0,2019-03-27 22:58:52
research_felix,2019-03-26,06:48:06,Only for KLSE Stock Traders | For KLSE Free Trial Trading TipsJoin Now : https://t.co/Ss2tvSRt31 https://t.co/Dy0PXQVCSj,0,2019-03-27 22:58:52
KiranGu72810213,2019-03-26,04:38:10,SGX  BUY  CAPITACOM TRUST (CODE : C61U) ABOVE 1.95 TGT 2.00-2.08  SL 1.87 KLSE UPDATE : NAIM (CODE : 5073) BLASTTT... https://t.co/Vk7XxstiGL,2,2019-03-27 22:58:53
AryanSo45810863,2019-03-26,04:37:37,SGX  BUY  CAPITACOM TRUST (CODE : C61U) ABOVE 1.95 TGT 2.00-2.08  SL 1.87 KLSE UPDATE : NAIM (CODE : 5073) BLASTTT... https://t.co/gQOemnLF2K,1,2019-03-27 22:58:53
AryanSo45810863,2019-03-26,03:53:00,KLSE BUY VS (CODE : 6963) ABOVE 1.02 TGT 1.07-1.12 SL 0.96SGX BUY CAPITAMALL TRUST (CODE : C38U) ABOVE 2.40 TGT -... https://t.co/CQ7ddgCTTL,1,2019-03-27 22:58:53
KiranGu72810213,2019-03-26,03:52:22,KLSE BUY VS (CODE : 6963) ABOVE 1.02 TGT 1.07-1.12 SL 0.96SGX BUY CAPITAMALL TRUST (CODE : C38U) ABOVE 2.40 TGT -... https://t.co/cDdzXxTclt,2,2019-03-27 22:58:53
qi_soon,2019-03-25,06:55:04,RT @teresakok: Teresa Kok : EU's 'high risk' ruling on palm oil shows double standard | KLSE Screener https://t.co/UxaYcvCtEH,0,2019-03-27 22:58:53
Klse_2_my_soul,2019-03-24,10:54:30,@BetoFCB_ He is a very good player....just not in form....i hope barca fans support him because thats what we do...... https://t.co/85a9BNkWG7,1,2019-03-27 22:58:53
aniqnazari,2019-03-24,08:13:52,@FahmyNazrul Hmmm penstrukturan like what, selling GLCs company to cronies for cheaper price? Selling nation's asse... https://t.co/4g6fgTIc3n,0,2019-03-27 22:58:53
Klse_2_my_soul,2019-03-24,05:17:49,RT @TarekFatah: Muslims kidnapped his two daughters &amp; forcibly converted them to Islam. The distraught Hindu father in Sindh, Pakistan is i...,0,2019-03-27 22:58:53
Klse_2_my_soul,2019-03-23,22:53:53,@BarcaWorldwide True.... that's what i think about it....its like the glory will only be for messi.....,0,2019-03-27 22:58:53
Rockeinstone,2019-03-23,21:57:32,@Klse_2_my_soul @BarcaWorldwide Also the coach i think, the coach can not solve this internal team problems.. like... https://t.co/ZO4Wo2PKwF,3,2019-03-27 22:58:53
JPDuboucq,2019-03-27,14:58:33,@TSlicht Lier, JIT (which includes Malaysia) recognizes the Russian guilt.,0,2019-03-27 22:58:53
GajendranYogesh,2019-03-27,14:58:32,@Hur_Alee @IAF_MCC @chedetofficial @SpokespersonMoD Where is JF17 ? I heard your gov have hidden all the JF17 after... https://t.co/AxfC2h3VLQ,0,2019-03-27 22:58:53
simmi_milli,2019-03-27,14:58:29,PLEASE COME TO MALAYSIA  I REPEAT 'MALAYSIA'  we r neighbors with Singapore btw  https://t.co/tiqzRbgw5A,0,2019-03-27 22:58:53
JoshuaBaldwin98,2019-03-27,14:58:29,@supadane @ARaveinology Hahahahahahahaha don't think too much tamil movies release on Fridays in Malaysia only ,0,2019-03-27 22:58:53
Tri_Service,2019-03-27,14:58:24,RT @IAF_MCC: #LIMA2019 : Indian Air Force is participating in LIMA with LCA-Tejas aircraft for the 1st time.Today, the Hon'ble PM of Mala...,0,2019-03-27 22:58:54
raizarobyn,2019-03-27,14:58:21,RT @JachManere: Sorry guys I won't be there tonight cause I'm working for a campaign in Malaysia huhu please support Louloubells for me and...,0,2019-03-27 22:58:54
Tri_Service,2019-03-27,14:58:21,RT @IAF_MCC: #LIMA2019 : Flying readily captures the imagination of everyone, indeed display flying, epitomises daring, adventure &amp; glamour...,0,2019-03-27 22:58:54
ranfemme,2019-03-27,14:58:11,RT @KRInstitute: Are social and cultural gender norms hindering women from participating in the workforce? Read here. https://t.co/VqHExW66...,0,2019-03-27 22:58:54
604XRP_Malaysia,2019-03-27,14:58:11,RT @Hodor: Billions of adults are considered un-banked. I discuss ILP's role in solving this problem &amp; cover the latest XRP news in today's...,0,2019-03-27 22:58:54
violuebot,2019-03-27,14:58:37,God what if none of my birthday i can watch the stock exchange scene in season six of SPN that shows Cas....,0,2019-03-27 22:58:54
eStockPicks,2019-03-27,14:58:34,$SCO at $17.20 Buy - Stock Market Alert sent at 10:43 AM ET to subscribers #stocks,0,2019-03-27 22:58:54
njhhfrhnh_,2019-03-27,14:58:33,[ READY STOCK ] HOMME BALL BACKPACKMATERIAL : CANVASCOLOUR : PINK , BLACK , GREEB , GREYSIZE : 29CM x 13CM X 3... https://t.co/exC89hbFJY,0,2019-03-27 22:58:54
bibeypost_stock,2019-03-27,14:58:33,Omnicom Group Inc. $OMC EPS Estimated At $1.08 https://t.co/rm3B0lOvoM,0,2019-03-27 22:58:55
GlobeMetro,2019-03-27,14:58:31,Not one bump stock was turned in since they were banned in Rhode Island, state police say https://t.co/F8bIXIU3XS,0,2019-03-27 22:58:55
SouthsideBCKZ,2019-03-27,14:58:29,In the market for a competition-style handgun that'll do it all? Take a look at this new option from Italian Firear... https://t.co/hu6vS0NrTw,0,2019-03-27 22:58:55
Glidedon,2019-03-27,14:58:29,@heckyessica Why do they stock Miller Lite if he was so shocked someone ordered one?,0,2019-03-27 22:58:55
DonnaBr05960029,2019-03-27,14:58:28,@GMB @heidiallen75 The vote was to leave the EU  we are a laughing stock ,0,2019-03-27 22:58:55
Return_Continue,2019-03-27,14:58:28,RT @AiKON1022131: and now YG blamed iKON??? then why YG could reached stock #1 beat SM in 2016 with just BIGBANG and iKON??? its just you g...,0,2019-03-27 22:58:55
IamPaulRevere,2019-03-27,14:58:25,@Debbie76507802 @Acosta PRESIDENT TRIUMPH has done more for the anti-gun community and protect American citizens th... https://t.co/hhmvGroA0f,0,2019-03-27 22:58:55
meremere422,2019-03-27,14:58:20,RT @GiffordsCourage: Today, the Supreme Court ruled to allow the ATF's bump stock ban go into effect as planned. It is now illegal to purch...,0,2019-03-27 22:58:55
hippiehomemakr,2019-03-27,14:58:17,@PEWifeAndMom I really wanted to get Rhett an Our Lady of Guadalupe teether from chews life but im afraid they won'... https://t.co/W1GIGEHdP2,0,2019-03-27 22:58:55
StopCorpFraud,2019-03-27,14:58:14,RT @GiffordsCourage: Today, the Supreme Court ruled to allow the ATF's bump stock ban go into effect as planned. It is now illegal to purch...,0,2019-03-27 22:58:55
TCRPartyBot,2019-03-27,14:58:13,RT @econoar: It's only a matter of time before we are trading stocks as ERC20s. Nice to see this slowly building momentum.https://t.co/mB...,0,2019-03-27 22:58:55
veronicaaah_,2019-03-27,10:57:05,RT @eLfathir_: ECONOMIC OF STUPIDITY | #SandiwaraUno#Sandiwaraanakmami#02vsNU https://t.co/nYvibZsiVb,0,2019-03-27 22:58:55
rick_coffe,2019-03-27,09:40:59,RT @eLfathir_: ECONOMIC OF STUPIDITY | #SandiwaraUno#Sandiwaraanakmami#02vsNU https://t.co/nYvibZsiVb,0,2019-03-27 22:58:55
izuoen,2019-03-27,09:05:51,RT @eLfathir_: ECONOMIC OF STUPIDITY | #SandiwaraUno#Sandiwaraanakmami#02vsNU https://t.co/nYvibZsiVb,0,2019-03-27 22:58:56
Soesanto_Liem,2019-03-27,08:47:24,RT @eLfathir_: ECONOMIC OF STUPIDITY | #SandiwaraUno#Sandiwaraanakmami#02vsNU https://t.co/nYvibZsiVb,0,2019-03-27 22:58:56
JokoFighter01,2019-03-27,08:35:30,RT @eLfathir_: ECONOMIC OF STUPIDITY | #SandiwaraUno#Sandiwaraanakmami#02vsNU https://t.co/nYvibZsiVb,0,2019-03-27 22:58:56
Fadlyfade_,2019-03-27,08:18:36,RT @eLfathir_: ECONOMIC OF STUPIDITY | #SandiwaraUno#Sandiwaraanakmami#02vsNU https://t.co/nYvibZsiVb,0,2019-03-27 22:58:56
Gusee89,2019-03-27,07:30:27,RT @eLfathir_: ECONOMIC OF STUPIDITY | #SandiwaraUno#Sandiwaraanakmami#02vsNU https://t.co/nYvibZsiVb,0,2019-03-27 22:58:56
pelhambluefund,2019-03-27,06:36:32,NEW POST! : Complaint by a Concerned Shareholder (our take on the DAYANG issue)#trade #saham #finance #bursa... https://t.co/mGXwyZJsZZ,2,2019-03-27 22:58:56
oppie30560071,2019-03-27,06:31:26,RT @eLfathir_: ECONOMIC OF STUPIDITY | #SandiwaraUno#Sandiwaraanakmami#02vsNU https://t.co/nYvibZsiVb,0,2019-03-27 22:58:56
faiqoh_ahmad,2019-03-27,06:05:35,RT @eLfathir_: ECONOMIC OF STUPIDITY | #SandiwaraUno#Sandiwaraanakmami#02vsNU https://t.co/nYvibZsiVb,0,2019-03-27 22:58:56
hadis2116,2019-03-27,05:44:54,RT @eLfathir_: ECONOMIC OF STUPIDITY | #SandiwaraUno#Sandiwaraanakmami#02vsNU https://t.co/nYvibZsiVb,0,2019-03-27 22:58:56
ras_af06,2019-03-27,05:11:37,RT @eLfathir_: ECONOMIC OF STUPIDITY | #SandiwaraUno#Sandiwaraanakmami#02vsNU https://t.co/nYvibZsiVb,0,2019-03-27 22:58:56
sereniTY_0109,2019-03-27,00:55:51,mom really suggested klse and pnb for my internship......... she really thinks im that smart to enter these places sdhshjdhj,0,2019-03-27 23:48:04
Iskandarbak,2019-03-26,10:31:41,KLSE dips below the psychological resistance level of 1,650 yesterday and remains there today.  Any pointers where... https://t.co/LlvFwz4jBg,0,2019-03-27 23:48:04
KiranGu72810213,2019-03-26,07:22:42,KLSE UPDATE  GAGAQRS (CODE : 5226) ROCKSSS 1.24&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;1.29, OUR 1ST TGT ALMOST ACHIEVED, BOOK SUPERB PROFIT.... https://t.co/zpc5PLpHnz,0,2019-03-27 23:48:04
AryanSo45810863,2019-03-26,07:21:50,KLSE UPDATE  GAGAQRS (CODE : 5226) ROCKSSS 1.24&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;1.29, OUR 1ST TGT ALMOST ACHIEVED, BOOK SUPERB PROFIT.,0,2019-03-27 23:48:04
research_felix,2019-03-26,06:48:06,Only for KLSE Stock Traders | For KLSE Free Trial Trading TipsJoin Now : https://t.co/Ss2tvSRt31 https://t.co/Dy0PXQVCSj,0,2019-03-27 23:48:04
KiranGu72810213,2019-03-26,04:38:10,SGX  BUY  CAPITACOM TRUST (CODE : C61U) ABOVE 1.95 TGT 2.00-2.08  SL 1.87 KLSE UPDATE : NAIM (CODE : 5073) BLASTTT... https://t.co/Vk7XxstiGL,2,2019-03-27 23:48:04
AryanSo45810863,2019-03-26,04:37:37,SGX  BUY  CAPITACOM TRUST (CODE : C61U) ABOVE 1.95 TGT 2.00-2.08  SL 1.87 KLSE UPDATE : NAIM (CODE : 5073) BLASTTT... https://t.co/gQOemnLF2K,1,2019-03-27 23:48:04
AryanSo45810863,2019-03-26,03:53:00,KLSE BUY VS (CODE : 6963) ABOVE 1.02 TGT 1.07-1.12 SL 0.96SGX BUY CAPITAMALL TRUST (CODE : C38U) ABOVE 2.40 TGT -... https://t.co/CQ7ddgCTTL,1,2019-03-27 23:48:04
KiranGu72810213,2019-03-26,03:52:22,KLSE BUY VS (CODE : 6963) ABOVE 1.02 TGT 1.07-1.12 SL 0.96SGX BUY CAPITAMALL TRUST (CODE : C38U) ABOVE 2.40 TGT -... https://t.co/cDdzXxTclt,2,2019-03-27 23:48:04
qi_soon,2019-03-25,06:55:04,RT @teresakok: Teresa Kok : EU's 'high risk' ruling on palm oil shows double standard | KLSE Screener https://t.co/UxaYcvCtEH,0,2019-03-27 23:48:04
Klse_2_my_soul,2019-03-24,10:54:30,@BetoFCB_ He is a very good player....just not in form....i hope barca fans support him because thats what we do...... https://t.co/85a9BNkWG7,1,2019-03-27 23:48:04
aniqnazari,2019-03-24,08:13:52,@FahmyNazrul Hmmm penstrukturan like what, selling GLCs company to cronies for cheaper price? Selling nation's asse... https://t.co/4g6fgTIc3n,0,2019-03-27 23:48:04
Klse_2_my_soul,2019-03-24,05:17:49,RT @TarekFatah: Muslims kidnapped his two daughters &amp; forcibly converted them to Islam. The distraught Hindu father in Sindh, Pakistan is i...,0,2019-03-27 23:48:04
Klse_2_my_soul,2019-03-23,22:53:53,@BarcaWorldwide True.... that's what i think about it....its like the glory will only be for messi.....,0,2019-03-27 23:48:04
Rockeinstone,2019-03-23,21:57:32,@Klse_2_my_soul @BarcaWorldwide Also the coach i think, the coach can not solve this internal team problems.. like... https://t.co/ZO4Wo2PKwF,3,2019-03-27 23:48:05
aparanjape,2019-03-27,15:47:47,RT @IAF_MCC: #LIMA2019 : Indian Air Force is participating in LIMA with LCA-Tejas aircraft for the 1st time.Today, the Hon'ble PM of Mala...,0,2019-03-27 23:48:05
sonamnimbhal,2019-03-27,15:47:45,RT @IAF_MCC: #LIMA2019 : Flying readily captures the imagination of everyone, indeed display flying, epitomises daring, adventure &amp; glamour...,0,2019-03-27 23:48:05
orianepaige1,2019-03-27,15:47:44,RT @JachManere: Sorry guys I won't be there tonight cause I'm working for a campaign in Malaysia huhu please support Louloubells for me and...,0,2019-03-27 23:48:05
ArVr9,2019-03-27,15:47:44,RT @IAF_MCC: #LIMA2019 : Flying readily captures the imagination of everyone, indeed display flying, epitomises daring, adventure &amp; glamour...,0,2019-03-27 23:48:05
SenseiUcu,2019-03-27,15:47:37,RT @womensaidorg: This is a milestone for child protection in Malaysia. Thank you @drwanazizah @hannahyeoh @KPWKM  https://t.co/o9NmrmaQrD,0,2019-03-27 23:48:05
SarahMaslinNir,2019-03-27,15:47:36,RT @danrivoli: Cousin of Malaysia Goodson, who died while carrying stroller and child down Midtown subway station staircase, tearfully tell...,0,2019-03-27 23:48:05
brennenjoe_,2019-03-27,15:47:34,RT @ZimAhmadi: Backstreet Boys: "I don't care who you are, where you're from (except if you're from Malaysia) https://t.co/Yi62fOx6wD,0,2019-03-27 23:48:05
nrdniaa,2019-03-27,15:47:33,RT @Pengapit: Handphone setting: English. Twitter setting: English. Instagram setting: English. ATM: Bahasa Malaysia.,0,2019-03-27 23:48:05
inckrpuram,2019-03-27,15:47:25,RT @IAF_MCC: #LIMA2019 : Flying readily captures the imagination of everyone, indeed display flying, epitomises daring, adventure &amp; glamour...,0,2019-03-27 23:48:05
officialnazrul_,2019-03-27,15:47:18,RT @ariff_yusri: Upin ipin keris siamang tunggal is totally awesome... Worth the money.. Terbaik movie malaysia... Cant wait sanbungan di...,0,2019-03-27 23:48:05
belikeerin,2019-03-27,15:47:18,RT @Pengapit: Handphone setting: English. Twitter setting: English. Instagram setting: English. ATM: Bahasa Malaysia.,0,2019-03-27 23:48:05
Kamalkhatter111,2019-03-27,15:47:18,RT @IAF_MCC: #LIMA2019 : Flying readily captures the imagination of everyone, indeed display flying, epitomises daring, adventure &amp; glamour...,0,2019-03-27 23:48:05
syaxleena,2019-03-27,15:47:13,RT @Pengapit: Handphone setting: English. Twitter setting: English. Instagram setting: English. ATM: Bahasa Malaysia.,0,2019-03-27 23:48:06
